,age,careAddr,careNm,careTel,chargeNm,colorCd,desertionNo,filename,happenDt,happenPlace,kindCd,neuterYn,noticeEdt,noticeNo,noticeSdt,officetel,orgNm,popfile,processState,sexCd,specialMark,weight
0,2014(년생),세종특별자치시  장군면 장척로 274 (장군면) 리얼펫동물병원,리얼펫동물병원,044-864-7579,농업축산과,실버탭,469569201800524,http://www.animal.go.kr/files/shelter/2018/10/201811071111344_s.jpg,20181106,조치원 다원 파크리안,[고양이] 페르시안-페프시안 친칠라,N,20181119,세종-세종-2018-00341,20181107,044-300-4447,세종특별자치시,http://www.animal.go.kr/files/shelter/2018/10/201811071111344.jpg,보호중,M,가위 미용 흔적,4(Kg)
1,2016(년생),세종특별자치시  장군면 장척로 274 (장군면) 리얼펫동물병원,리얼펫동물병원,044-864-7579,농업축산과,갈색,469569201800523,http://www.animal.go.kr/files/shelter/2018/10/201811071111411_s.jpg,20181106,부강119 근방,[개] 믹스견,N,20181119,세종-세종-2018-00340,20181107,044-300-4447,세종특별자치시,http://www.animal.go.kr/files/shelter/2018/10/201811071111411.jpg,보호중,M,가슴과 목에 흰털. 치아와 닮음,2.9(Kg)
2,2016(년생),세종특별자치시  장군면 장척로 274 (장군면) 리얼펫동물병원,리얼펫동물병원,044-864-7579,농업축산과,애플,469569201800522,http://www.animal.go.kr/files/shelter/2018/10/201811071111104_s.jpg,20181106,장군면 밤실길,[개] 푸들,N,20181119,세종-세종-2018-00339,20181107,044-300-4447,세종특별자치시,http://www.animal.go.kr/files/shelter/2018/10/201811071111104.jpg,보호중,F,최근 미용함. 사람 좋아함,3.7(Kg)
3,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,갈색,450650201806574,http://www.animal.go.kr/files/shelter/2018/10/201811071011232_s.jpg,20181106,제주시 애월읍 장전리 389-5,[개] 믹스견,N,20181119,제주-제주-2018-05927,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011232.jpg,보호중,M,(개체관리번호 5892) 생후5개월,7.7(Kg)
4,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,갈색,450650201806573,http://www.animal.go.kr/files/shelter/2018/10/201811071011504_s.jpg,20181106,제주시 애월읍 납읍리 839,[개] 믹스견,N,20181119,제주-제주-2018-05926,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011504.jpg,보호중,M,(개체관리번호 5891) 생후5개월,9(Kg)
5,2016(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,흰색,450650201806572,http://www.animal.go.kr/files/shelter/2018/10/201811071011138_s.jpg,20181106,제주시 애월읍 납읍리 839,[개] 믹스견,N,20181119,제주-제주-2018-05925,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011138.jpg,보호중,M,"(개체관리번호 5890) 초록/노랑 목줄 착용, 경계심 강함",12(Kg)
6,2017(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,흰/갈/검,450650201806571,http://www.animal.go.kr/files/shelter/2018/10/201811071011655_s.jpg,20181106,제주시 한천초 인근,[개] 비글,N,20181119,제주-제주-2018-05924,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011655.jpg,보호중,F,(개체관리번호 5889),8(Kg)
7,2017(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,검정,450650201806570,http://www.animal.go.kr/files/shelter/2018/10/201811071011407_s.jpg,20181106,제주시 한경면 명이5길 138,[개] 믹스견,N,20181119,제주-제주-2018-05923,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011407.jpg,보호중,M,"(개체관리번호 5888) 낡은 갈색목줄 착용, 배,발부분 흰색 털",28(Kg)
8,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,갈색,450650201806569,http://www.animal.go.kr/files/shelter/2018/10/201811071011941_s.jpg,20181106,제주시 한림읍 오로라정원,[개] 믹스견,N,20181119,제주-제주-2018-05922,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011941.jpg,보호중,F,(개체관리번호 5887) 생후2개월,2.6(Kg)
9,2018(년생),제주특별자치도 제주시 첨단동길 184-14 (용강동),제주유기동물보호센터,064-710-4067,,갈색,450650201806568,http://www.animal.go.kr/files/shelter/2018/10/201811071011163_s.jpg,20181106,제주시 조천14길 7-2,[개] 골든 리트리버,N,20181119,제주-제주-2018-05921,20181107,,제주특별자치도,http://www.animal.go.kr/files/shelter/2018/10/201811071011163.jpg,보호중,M,"(개체관리번호 5886) 생후4개월, 빨강목줄 착용",8.6(Kg)
