,area,name,number,address
0,전라남도 함평군,학교유기동물보호소,061-320-1935,전라남도 함평군 학교면 송산길 84 (학교면)월산리 806-1 
1,경상남도 거창군,거창군 농업기술센터,055-940-8140,"경상남도 거창군 거창읍 거함대로 3322 (거창읍, 농업기술센터)가축위생"
2,충청북도 괴산군,괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면)
3,전라남도 무안군,유기동물보호소,061-450-4035,"전라남도 무안군 무안읍 무안로 339 (무안읍, 무안군농업기술센터)보호소는 개인사유지이므로 보호소와 방문예약 후 찾아가시기 바랍니다.(이 주소는 축산과입니다.)"
4,강원도 고성군,고성군임시보호소,033-680-3723,강원도 고성군 간성읍 간성북로 87 (간성읍)죽왕면 가진리 480번지(도로명주소 미등록)
5,경기도 평택시,필립 동물병원,031-611-7166,경기도 평택시 지산로 34 (지산동)필립 동물병원
6,경상남도 밀양시,밀양시동물보호소,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍)
7,서울특별시 동작구,디아크종합동물병원,02-816-7582,서울특별시 동작구 장승배기로27길 18 (노량진동)
8,전라남도 담양군,담양군 동물보호소,010-3604-1338,전라남도 담양군 봉산면 대추1길 111 (봉산면)111
9,경상북도 청도군,청도동물보호소,054-370-6532,"경상북도 청도군 화양읍 청화로 70 (화양읍, 청도군청)농정과 동물방역계"
10,대구광역시 달성군,제이스동물병원,053-585-9057,"대구광역시 달성군 다사읍 세천북로 20 (다사읍, 세천삼정그린코아더베스트아파트2단지)211-B102"
11,서울특별시 마포구,소망동물병원,02-719-7502,서울특별시 마포구 신촌로 258 (아현동)
12,경상남도 통영시,통영시 동물보호센터,055-650-6233,"경상남도 통영시 광도면 향교옆길 31 (광도면, 통영시농업기술센터)"
13,전라북도 김제시,전북말산업복합센터,010-5357-0267,전라북도 김제시 용지면 금백로 571-39 (용지면)전북말산업복합센터
14,경기도 수원시,방실웃는 동물병원,031-212-1999,경기도 수원시 영통구 인계로220번길 20 (매탄동)
15,전라남도 보성군,보성유기동물보호센터,010-3666-5354,전라남도 보성군 노동면 노동천동길 209 (노동면)
16,대구광역시 수성구,금강동물병원,053-746-7111,대구광역시 수성구 동원로 150 (만촌동)금강동물병원
17,대구광역시 수성구,허동물병원,053-752-7535,대구광역시 수성구 수성동2가 명덕로 421 (수성동2가)허동물병원
18,전라북도 김제시,김제시,063-540-3683,"전라북도 김제시 동서로 59 (교동, 김제시농업기술센터)축산진흥과"
19,경상북도 울진군,킴스동물병원,054-781-7782,"경상북도 울진군 울진읍 울진중앙로 41 (울진읍, M모텔)킴스동물병원"
20,전라남도 영암군,유기동물 제1보호소,010-2050-5900,전라남도 영암군 덕진면 우도로 35-1 (덕진면)
21,전라남도 구례군,구례 보호소,010-3285-5325,전라남도 구례군 문척면 구성1길 74-20 (문척면)
22,경상남도 거창군,나래동물병원,055-942-8875,"경상남도 거창군 거창읍 거창대로 13-2 (거창읍, 칠성슈퍼)"
23,경기도 부천시,cj동물병원,032-323-4999,"경기도 부천시 소향로 246 (중동, 새롬프라자6차)"
24,경기도 부천시,나눔농장,010-4747-0507,경기도 부천시 대장로 118 (대장동)
25,전라남도 광양시,광양동물메디컬센터,061-792-7501,"전라남도 광양시 사동로 70 (중동)1층, 2층"
26,울산광역시 남구,강남동물병원,052-271-0075,울산광역시 남구 돋질로 232 (달동)1층
27,경기도 부천시,햇빛동물병원,032-676-7584,경기도 부천시 평천로 718 (삼정동)
28,서울특별시 마포구,동물보호시민단체카라,02-3482-0999,서울특별시 마포구 잔다리로 122 (서교동)동물보호시민단체 카라
29,경상북도 청송군,청송동물보호센터,054-870-6282,경상북도 청송군 청송읍 부곡길 66 (청송읍)청송읍 부곡리 196
30,울산광역시 북구,더웰동물병원,052-955-0075,"울산광역시 북구 신답로 35 (상안동, 국민은행)102호"
31,경기도 부천시,가나동물병원,032-665-0075,"경기도 부천시 중동로 57 (송내동, 상가동)117호"
32,경상북도 경산시,자인동물보호소,010-3506-3661,경상북도 경산시 용성면 육동로 220-18 (용성면)자인동물보호소
