"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"부산광역시",부산광역시 해운대구 송정중앙로 14,부산광역시 해운대구 송정동 349,다목적,1,200,100m이내,30,2010-01,051-888-2991,35.182530,129.203479,2018-04-30
"부산광역시",부산광역시 금정구 부곡2동 233-1,부산광역시 금정구 서동 282-57,다목적,1,200,100m이내,30,2011-01,051-888-2991,35.216551,129.102759,2018-04-30
"부산광역시",부산광역시 금정구 서3동 132-29,부산광역시 금정구 서3동 132-29,다목적,1,200,100m이내,30,2011-01,051-888-2991,35.224488,129.095603,2018-04-30
"부산광역시",부산광역시 금정구 장전1동 170-2,부산광역시 금정구 장전1동 170-2,다목적,1,200,100m이내,30,2011-01,051-888-2991,35.229427,129.120716,2018-04-30
"부산광역시",부산광역시 금정구 서2동 302-1042,부산광역시 금정구 서동 302-1042,다목적,1,200,100m이내,30,2011-01,051-888-2991,35.230635,129.087668,2018-04-30
"부산광역시",부산광역시 금정구 구서1동 420-3,부산광역시 금정구 구서동 84-15,다목적,1,200,100m이내,30,2011-01,051-888-2991,35.232879,129.092869,2018-04-30
"부산광역시",부산광역시 금정구 남산동 964-7,부산광역시 금정구 남산동 964-7,다목적,1,200,100m이내,30,2011-01,051-888-2991,35.236589,129.093856,2018-04-30
"부산광역시",부산광역시 금정구 장전1동 120-23,부산광역시 금정구 장전1동 120-23,다목적,1,200,100m이내,30,2011-01,051-888-2991,35.247116,129.095562,2018-04-30
"부산광역시",부산광역시 금정구 서3동 168-1,부산광역시 금정구 서3동 168-1,다목적,1,200,100m이내,30,2011-01,051-888-2991,35.250182,129.058152,2018-04-30
"부산광역시",부산광역시 금정구 장전1동 183-2,부산광역시 금정구 장전동 201-1,다목적,1,200,100m이내,30,2011-01,051-888-2991,35.269342,129.084968,2018-04-30
"부산광역시",부산광역시 금정구 부곡1동 305-1,부산광역시 금정구 부곡동 304-1,다목적,1,200,100m이내,30,2011-01,051-888-2991,35.272872,129.091245,2018-04-30
"부산광역시",부산광역시 서구 암남로6번길 7,부산광역시 서구 암남동 288-4,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.076726,129.016022,2018-04-30
"부산광역시",부산광역시 서구 송도해변로 91,부산광역시 서구 암남동 238-1,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.077159,129.021877,2018-04-30
"부산광역시",부산광역시 서구 충무대로11번길 25,부산광역시 서구 암남동 325-2,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.079039,129.015435,2018-04-30
"부산광역시",부산광역시 서구 천마로50번길 45,부산광역시 서구 남부민동 611-51,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.081577,129.023433,2018-04-30
"부산광역시",부산광역시 서구 해양로 22,부산광역시 서구 남부민동 611-343,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.082904,129.022671,2018-04-30
"부산광역시",부산광역시 서구 천마로 77번길 19-2,부산광역시 서구 남부민동 441-17,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.083591,129.018732,2018-04-30
"부산광역시",부산광역시 서구 천해로 37-1,부산광역시 서구 암남동 2-68,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.084505,129.015242,2018-04-30
"부산광역시",부산광역시 서구 남부민로12번길 40,부산광역시 서구 남부민동 656-16,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.086165,129.023391,2018-04-30
"부산광역시",부산광역시 서구 충무대로 225번길 9,부산광역시 서구 남부민동 69-43,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.090662,129.021943,2018-04-30
"부산광역시",부산광역시 서구 해돋이로 173,부산광역시 서구 초장동 128-49,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.092584,129.018344,2018-04-30
"부산광역시",부산광역시 서구 천마로197번길 11,부산광역시 서구 남부민동 23-119,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.093336,129.021111,2018-04-30
"부산광역시",부산광역시 서구 해돋이로 205,부산광역시 서구 초장동 75-56,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.095711,129.018072,2018-04-30
"부산광역시",부산광역시 서구 보수대로258번길 30,부산광역시 서구 동대신동3가 74-3,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.097629,129.018391,2018-04-30
"부산광역시",부산광역시 서구 구덕로143번길 27,부산광역시 서구 초장동 43-8,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.097922,129.019274,2018-04-30
"부산광역시",부산광역시 서구 충무대로267번길 9,부산광역시 서구 충무동1가 37-18,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.100423,129.023199,2018-04-30
"부산광역시",부산광역시 서구 보수대로 41-5,부산광역시 서구 토성동1가 10-1,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.100665,129.022642,2018-04-30
"부산광역시",부산광역시 서구 구덕로185번길 52,부산광역시 서구 아미동2가 36-8,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.101815,129.016628,2018-04-30
"부산광역시",부산광역시 서구 해돋이로330번길 7,부산광역시 서구 부민동3가 8-1174,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.105834,129.017034,2018-04-30
"부산광역시",부산광역시 서구 구덕로 249번길 10,부산광역시 서구 부용동2가 9-11,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.107101,129.019356,2018-04-30
"부산광역시",부산광역시 서구 대영로38번길 23,부산광역시 서구 서대신동1가 150-1,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.109094,129.014351,2018-04-30
"부산광역시",부산광역시 서구 고운들로 203,부산광역시 서구 서대신동2가 411-10,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.109506,129.011442,2018-04-30
"부산광역시",부산광역시 서구 구덕로286번길 6,부산광역시 서구 동대신동1가 150-5,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.109931,129.018718,2018-04-30
"부산광역시",부산광역시 서구 보동길 189-4,부산광역시 서구 동대신동1가 16-26,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.110654,129.023843,2018-04-30
"부산광역시",부산광역시 서구 구덕로315번길 9,부산광역시 서구 서대신동2가 35-7,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.111681,129.016189,2018-04-30
"부산광역시",부산광역시 서구 구덕로333번길 41-6,부산광역시 서구 서대신동3가 350-3,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.112625,129.013144,2018-04-30
"부산광역시",부산광역시 서구 대티로161번길 10,부산광역시 서구 서대신동3가 675-5,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.112938,129.011390,2018-04-30
"부산광역시",부산광역시 서구 보수대로 202-50,부산광역시 서구 동대신동2가 50-41,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.114195,129.020885,2018-04-30
"부산광역시",부산광역시 서구 보수대로 309-1,부산광역시 서구 서대신동3가 36-45,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.119530,129.011789,2018-04-30
"부산광역시",부산광역시 서구 망양로111번길 57,부산광역시 서구 동대신동3가 50-13,다목적,1,200,100m이내,30,2014-01,051-888-2991,35.120024,129.019853,2018-04-30
