"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 은평구청",서울특별시 은평구 연서로46길 50,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.633574,126.937772,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 연서로46길 50,서울특별시 은평구 진관동 175 기자촌공원내,기타,3,200,360도 전방면,30,2014-12,02-351-8007,37.633487,126.938743,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 연서로46길 50,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.632850,126.938750,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 연서로46길 50,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.632892,126.937549,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 연서로46길 50,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.632416,126.936512,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 연서로46길 50,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.631732,126.934947,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 연서로46길 50,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.634594,126.936183,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 연서로46길 50,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.635170,126.936271,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 서오릉로20길 15-1,서울특별시 은평구 갈현동 327-21 (갈현동 327-113 뒤),기타,1,200,360도 전방면,30,2009-12,02-351-8007,37.616764,126.908974,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 서오릉로20길 15-1,서울특별시 은평구 갈현동 327-21 (갈현동 327-113 뒤),기타,1,200,360도 전방면,30,2009-12,02-351-8007,37.616993,126.909007,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 서오릉로17길 5,서울특별시 은평구 구산동 340-1 (구산동 341-4 옆),기타,3,200,360도 전방면,30,2017-11,02-351-8007,37.614373,126.908569,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 서오릉로17길 5,서울특별시 은평구 구산동 340-1 (구산동 341-4 옆),기타,3,41,360도 전방면,30,2011-12,02-351-8007,37.614632,126.907974,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 통일로 849,서울특별시 은평구 갈현동 397,기타,1,200,180도,30,2015-12,02-351-8007,37.618901,126.920677,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 통일로 849,서울특별시 은평구 갈현동 397,기타,3,200,360도 전방면,30,2013-12,02-351-8007,37.618753,126.920578,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 통일로89길 18-14,서울특별시 은평구 갈현동 416-3,기타,2,200,180도,30,2015-12,02-351-8007,37.625081,126.918365,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 갈현로35길 12-8,서울특별시 은평구 갈현동 434-38,기타,1,200,180도,30,2015-12,02-351-8007,37.621378,126.915599,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 갈현로35길 12-8,서울특별시 은평구 갈현동 434-38,다목적,1,200,180도,30,2017-12,02-351-6383,37.621378,126.915599,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 갈현로35길 12-8,서울특별시 은평구 갈현동 434-38,기타,1,41,360도 전방면,30,2009-12,02-351-8007,37.621378,126.915599,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 갈현로41길 7,서울특별시 은평구 갈현동 436-51,기타,1,130,360도 전방면,30,2012-12,02-351-8007,37.624017,126.916375,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 갈현로41길 7,서울특별시 은평구 갈현동 436-51,기타,1,130,360도 전방면,30,2012-12,02-351-8007,37.624017,126.916375,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 갈현로41길 7,서울특별시 은평구 갈현동 436-51,다목적,1,200,180도,30,2017-12,02-351-6383,37.624017,126.916375,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 연서로21길 15,서울특별시 은평구 갈현동 474-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.614661,126.915634,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 연서로21길 15,서울특별시 은평구 갈현동 474-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.614550,126.915943,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 연서로21길 15,서울특별시 은평구 갈현동 474-1,다목적,1,200,180도,30,2017-12,02-351-6383,37.614550,126.915943,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 갈현로25길 11-8,서울특별시 은평구 갈현동 513-1,기타,1,41,360도 전방면,30,2010-12,02-351-8007,37.617174,126.913295,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 갈현로25길 11-8,서울특별시 은평구 갈현동 513-1,다목적,1,200,180도,30,2017-12,02-351-6383,37.617274,126.913212,2018-02-20
"서울특별시 은평구청",서울특별시 은평구 갈현로25길 11-8,서울특별시 은평구 갈현동 513-1,기타,1,41,360도 전방면,30,2010-12,02-351-8007,37.617274,126.913212,2018-02-20
